,state,pop_migrated,MOE +/-,state_population,migrated_adjusted,moe_adjusted
0,Alabama,103,140,5024279,2.050045389597194e-05,2.786469461588419e-05
1,Alaska,230,272,733391,0.00031361170235249684,0.0003708799262603441
2,Arizona,509,476,7151502,7.117385970108097e-05,6.65594444355885e-05
3,Arkansas,35,60,3011524,1.162202260383779e-05,1.9923467320864784e-05
4,California,1688,646,39538223,4.26928645730993e-05,1.633861997288042e-05
5,Colorado,360,306,5773714,6.235154702848115e-05,5.299881497420898e-05
6,Connecticut,919,634,3605944,0.000254856980585389,0.00017582081141581787
7,Delaware,981,721,989948,0.0009909611413932854,0.0007283210835316603
8,Florida,1650,708,21538187,7.660811933706398e-05,3.287184757008563e-05
9,Georgia,709,437,10711908,6.618802177912655e-05,4.07957200528608e-05
10,Hawaii,355,521,1455271,0.00024394081927008783,0.0003580089206752557
11,Idaho,79,135,1839106,4.2955653453362666e-05,7.340523058486025e-05
12,Illinois,877,451,12812508,6.844873774908083e-05,3.519997802147714e-05
13,Indiana,137,137,6785528,2.0190027953609504e-05,2.0190027953609504e-05
14,Iowa,139,173,3190369,4.356862795494816e-05,5.422570241874843e-05
15,Kansas,364,360,2937880,0.0001238988658488434,0.00012253733985050444
16,Kentucky,0,296,4505836,0.0,6.569258179836105e-05
17,Louisiana,484,679,4657757,0.00010391267728221975,0.0001457783220550149
18,Maine,0,296,1362359,0.0,0.00021727019089681941
19,Massachusetts,1523,665,7029917,0.00021664551658291271,9.459571144296583e-05
20,Michigan,895,778,10077331,8.881319865349268e-05,7.720298162281263e-05
21,Minnesota,300,277,5706494,5.2571684119881664e-05,4.85411883373574e-05
22,Mississippi,91,114,2961279,3.0729964991478344e-05,3.849687922009375e-05
23,Missouri,179,229,6154913,2.908245819234163e-05,3.7206049866180076e-05
24,Montana,65,108,1084225,5.9950655998524294e-05,9.961032073600959e-05
25,Nebraska,0,296,1961504,0.0,0.0001509046119712221
26,Nevada,0,296,3104614,0.0,9.534196521693196e-05
27,New Hampshire,230,191,1377529,0.0001669656319395091,0.0001386540682628097
28,New Jersey,1160,628,9288994,0.00012487896967098913,6.760689047705273e-05
29,New Mexico,51,84,2117522,2.4084755671959962e-05,3.96690093420517e-05
30,New York,3974,1310,20201249,0.00019672050970709782,6.484747551995423e-05
31,North Carolina,1370,428,10439388,0.00013123374665258155,4.0998571946937886e-05
32,North Dakota,0,296,779094,0.0,0.0003799284810305303
33,Ohio,966,514,11799448,8.186823654801479e-05,4.35613598195441e-05
34,Oklahoma,109,122,3959353,2.7529750441549414e-05,3.081311517311035e-05
35,Oregon,412,340,4237256,9.723273741308054e-05,8.02406085447752e-05
36,Pennsylvania,1880,795,13002700,0.0001445853553492736,6.114114760780454e-05
37,Rhode Island,336,249,1097379,0.00030618409865689063,0.00022690428739751718
38,South Carolina,608,391,5118425,0.00011878654078158809,7.639068658815945e-05
39,South Dakota,0,296,886667,0.0,0.00033383446096448834
40,Tennessee,35,59,6910840,5.064507353664677e-06,8.537312396177599e-06
41,Texas,711,430,29145505,2.439484236076884e-05,1.4753561484009284e-05
42,Utah,0,296,3271616,0.0,9.047516578962812e-05
43,Vermont,0,296,643077,0.0,0.0004602870262814562
44,Washington,296,302,7705281,3.8415211593191736e-05,3.919389831467535e-05
45,West Virginia,424,233,1793716,0.0002363807871480212,0.0001298979325601154
46,Wisconsin,197,165,5893718,3.342542008287468e-05,2.799591022169707e-05
47,Wyoming,0,,576851,0.0,
