0,pop_migrated,MOE +/-,state_population,state_pop_adjusted,moe_adjusted
Alabama,203,167.53822286,5024279,4.040380719303207e-05,3.3345724403441766e-05
Alaska,240,279.343814,733391,0.00032724699375912713,0.0003808934306529532
Arizona,32,54.042694071,7151502,4.474584499871495e-06,7.5568312881685555e-06
Arkansas,106,126.7776431,3011524,3.5198125600194454e-05,4.209750382198515e-05
California,2980,909.75973585,39538223,7.537010451886014e-05,2.3009626301364126e-05
Colorado,505,508.12343197,5773714,8.746536458161939e-05,8.800633906875194e-05
Connecticut,288,283.73365143,3605944,7.98681288450403e-05,7.868498552112844e-05
Delaware,571,530.94168415,989948,0.0005767979732268766,0.0005363329024857871
Florida,2275,1048.6983376,21538187,0.00010562634635867912,4.869018630026752e-05
Georgia,900,542.66253733,10711908,8.401864541779112e-05,5.065974589494234e-05
Hawaii,145,169.99783702,1455271,9.963779942017672e-05,0.00011681524404732864
Idaho,0,296,1839106,0.0,0.0001609477648379158
Illinois,1370,515.90069228,12812508,0.00010692676250426536,4.026539474394865e-05
Indiana,0,296,6785528,0.0,4.36222501771417e-05
Iowa,33,55.794364948,3190369,1.0343631097217909e-05,1.748837358562599e-05
Kansas,95,114.22271637,2937880,3.233624246054978e-05,3.887929948466241e-05
Kentucky,114,192.05366194,4505836,2.5300521368287706e-05,4.262331384009538e-05
Louisiana,0,296,4657757,0.0,6.354990180896084e-05
Maine,390,475.57445034,1362359,0.0002862681569248634,0.00034908159328047894
Massachusetts,1084,476.78020043,7029917,0.0001541981221115413,6.782159738585817e-05
Michigan,259,268.47765759,10077331,2.570124966620626e-05,2.6641742500072685e-05
Minnesota,194,177.05848053,5706494,3.399635573085681e-05,3.102754169723126e-05
Mississippi,0,296,2961279,0.0,9.995680920305044e-05
Missouri,102,114.67962679,6154913,1.6572127014630425e-05,1.8632209227002884e-05
Montana,66,89.439453284,1084225,6.087297378311697e-05,8.24915984080795e-05
Nebraska,57,94.296674643,1961504,2.9059334062025872e-05,4.80736591120895e-05
Nevada,147,150.25704104,3104614,4.734888137462499e-05,4.839797831227972e-05
New Hampshire,72,99.348331069,1377529,5.226750217236806e-05,7.212068208291804e-05
New Jersey,1232,806.81414315,9288994,0.0001326300781333264,8.685699906254649e-05
New Mexico,0,296,2117522,0.0,0.00013978603291961076
New York,3647,1011.6751337,20201249,0.0001805333917719642,5.0079830890654334e-05
North Carolina,1276,847.39952073,10439388,0.00012222938739320734,8.117329490291959e-05
North Dakota,0,296,779094,0.0,0.0003799284810305303
Ohio,373,288.89192883,11799448,3.1611648273715856e-05,2.44835121804003e-05
Oklahoma,57,93.579393051,3959353,1.4396291515305656e-05,2.3635021441887094e-05
Oregon,285,252.7750057,4237256,6.726051010370863e-05,5.9655353771403005e-05
Pennsylvania,1705,704.23639262,13002700,0.0001311266121651657,5.416078142385812e-05
Puerto Rico,147,168.12189724,3285874,4.4736955829712274e-05,5.116504687641706e-05
Rhode Island,68,112.19334156,1097379,6.196582949008501e-05,0.00010223755107396805
South Carolina,345,385.51514713,5118425,6.740354698955245e-05,7.531909662249618e-05
South Dakota,58,95.993890079,886667,6.541350924304163e-05,0.0001082637451027274
Tennessee,89,142.80646628,6910840,1.2878318699318752e-05,2.066412567502648e-05
Texas,819,571.01821851,29145505,2.8100388035822335e-05,1.9591982314597055e-05
Utah,76,125.95480446,3271616,2.3230110135174787e-05,3.849926289026585e-05
Vermont,161,152.64323654,643077,0.00025035882172741366,0.00023736385617896457
Washington,190,187.17288255,7705281,2.465841284698118e-05,2.4291506377249578e-05
West Virginia,207,296.95097855,1793716,0.0001154028842916047,0.00016555072182552867
Wisconsin,344,307.37827522,5893718,5.8367231007659343e-05,5.2153543013086136e-05
Wyoming,54,89.541506981,576851,9.361169522112296e-05,0.00015522467150269305
