,state,pop_migrated,MOE +/-,state_population,pop_migrated_upper,pop_migrated_lower,migrated_adjusted,migrated_adjusted_upper,migrated_adjusted_lower,moe_adjusted,winning_party,winner_percent_of_votes
0,Alabama,0,286,5024279,286,-286,0.0,5.692359042959199e-05,-5.692359042959199e-05,5.692359042959199e-05,REPUBLICAN,0.6246068975770077
1,Alaska,0,286,733391,286,-286,0.0,0.0003899693342296265,-0.0003899693342296265,0.0003899693342296265,REPUBLICAN,0.6106532991253942
2,Arizona,490,573,7151502,1063,-83,6.851707515428227e-05,0.00014864010385510625,-1.1605953546541692e-05,8.012302870082396e-05,REPUBLICAN,0.5486943408601376
3,Arkansas,0,286,3011524,286,-286,0.0,9.496852756278881e-05,-9.496852756278881e-05,9.496852756278881e-05,REPUBLICAN,0.5430595907843537
4,California,2348,1010,39538223,3358,1338,5.9385572285330075e-05,8.493047348131958e-05,3.384067108934056e-05,2.5544901195989512e-05,DEMOCRAT,0.5430555753467436
5,Colorado,269,250,5773714,519,19,4.659046152961508e-05,8.989014696606032e-05,3.2907760931698385e-06,4.329968543644524e-05,REPUBLICAN,0.5171109535459211
6,Connecticut,261,209,3605944,470,52,7.238049176581777e-05,0.0001303403491568366,1.4420634374798944e-05,5.795985739101883e-05,DEMOCRAT,0.543137089719902
7,Delaware,357,346,989948,703,11,0.00036062500252538517,0.0007101383102950862,1.1111694755684136e-05,0.000349513307769701,DEMOCRAT,0.5334683760228152
8,Florida,1103,461,21538187,1564,642,5.1211367047746406e-05,7.261521129888973e-05,2.9807522796603074e-05,2.140384425114333e-05,REPUBLICAN,0.5209751623233695
9,Georgia,319,209,10711908,528,110,2.977994209808374e-05,4.9290938645104125e-05,1.0268945551063358e-05,1.951099654702038e-05,REPUBLICAN,0.5797475676698846
10,Hawaii,56,92,1455271,148,-36,3.8480805293309633e-05,0.00010169927113231831,-2.4737660545699048e-05,6.321846583900867e-05,DEMOCRAT,0.5400955215809311
11,Idaho,0,286,1839106,286,-286,0.0,0.00015551034035014838,-0.00015551034035014838,0.00015551034035014838,REPUBLICAN,0.6839094482399026
12,Illinois,1519,812,12812508,2331,707,0.00011855602353575116,0.00018193159372076098,5.518045335074132e-05,6.337557018500984e-05,DEMOCRAT,0.5482316020902781
13,Indiana,192,141,6785528,333,51,2.829551362841624e-05,4.907503144928442e-05,7.5159958075480645e-06,2.0779517820868177e-05,REPUBLICAN,0.5994476503665718
14,Iowa,0,286,3190369,286,-286,0.0,8.96448028425552e-05,-8.96448028425552e-05,8.96448028425552e-05,REPUBLICAN,0.4990065750530225
15,Kansas,0,286,2937880,286,-286,0.0,9.734910888123409e-05,-9.734910888123409e-05,9.734910888123409e-05,REPUBLICAN,0.620039806155473
16,Kentucky,32,55,4505836,87,-23,7.101900734957952e-06,1.9308292623166934e-05,-5.104491153251028e-06,1.220639188820898e-05,REPUBLICAN,0.5954951383220055
17,Louisiana,271,330,4657757,601,-59,5.818251145347428e-05,0.00012903206414589683,-1.2667041238948275e-05,7.084955269242255e-05,REPUBLICAN,0.5672202134108999
18,Maine,174,206,1362359,380,-32,0.0001277196392434006,0.00027892794777294383,-2.348866928614264e-05,0.00015120830852954323,DEMOCRAT,0.5357285569259347
19,Massachusetts,2579,1021,7029917,3600,1558,0.00036686066137053965,0.0005120970845032736,0.00022162423823780564,0.000145236423132734,DEMOCRAT,0.616166602048537
20,Michigan,122,123,10077331,245,-1,1.210638015164928e-05,2.431199292749241e-05,-9.923262419384656e-08,1.2205612775843128e-05,DEMOCRAT,0.5123070672905647
21,Minnesota,363,257,5706494,620,106,6.361173778505681e-05,0.00010864814718108878,1.8575328389024856e-05,4.503640939603196e-05,REPUBLICAN,0.4761353379152145
22,Mississippi,0,286,2961279,286,-286,0.0,9.657988997321765e-05,-9.657988997321765e-05,9.657988997321765e-05,REPUBLICAN,0.5901437414899142
23,Missouri,68,113,6154913,181,-45,1.1048084676420284e-05,2.9407401859295167e-05,-7.3112325064545996e-06,1.8359317182874883e-05,REPUBLICAN,0.5329619193926551
24,Montana,0,286,1084225,286,-286,0.0,0.0002637828863935069,-0.0002637828863935069,0.0002637828863935069,REPUBLICAN,0.5906814316858852
25,Nebraska,186,191,1961504,377,-5,9.482519536029496e-05,0.0001921994551119957,-2.5490643914057783e-06,9.737425975170073e-05,REPUBLICAN,0.6589864119889075
26,Nevada,0,286,3104614,286,-286,0.0,9.212095287852209e-05,-9.212095287852209e-05,9.212095287852209e-05,REPUBLICAN,0.504696915453111
