,state,pop_migrated,MOE +/-,state_population,migrated_adjusted,moe_adjusted
0,Alabama,251,232,5024279,4.995741677562094e-05,4.617577964917952e-05
1,Alaska,92,110,733391,0.00012544468094099874,0.00014998820547293325
2,Arizona,186,206,7151502,2.6008522405503068e-05,2.8805137717922752e-05
3,Arkansas,106,172,3011524,3.5198125600194454e-05,5.711393965314572e-05
4,California,5206,1239,39538223,0.00013167005507556574,3.133676493250595e-05
5,Colorado,476,259,5773714,8.244260107099173e-05,4.485847411215727e-05
6,Connecticut,1336,599,3605944,0.0003704993754756036,0.0001661146152020109
7,Delaware,290,273,989948,0.0002929446799225818,0.0002757720607547063
8,Florida,1745,681,21538187,8.101888984434948e-05,3.161826016275186e-05
9,Georgia,445,285,10711908,4.1542552456574496e-05,2.660590438230052e-05
10,Hawaii,283,377,1455271,0.00019446549817868974,0.0002590582784924595
11,Idaho,229,241,1839106,0.00012451702076987406,0.00013104193015519498
12,Illinois,1768,846,12812508,0.00013799015774273077,6.602922706467773e-05
13,Indiana,525,343,6785528,7.737054507770065e-05,5.0548756117431095e-05
14,Iowa,96,153,3190369,3.0090563191906642e-05,4.795683508710121e-05
15,Kansas,133,145,2937880,4.5270739444769696e-05,4.935531743978651e-05
16,Kentucky,375,348,4505836,8.32253992377885e-05,7.723317049266774e-05
17,Louisiana,689,493,4657757,0.00014792527819720952,0.00010584493781019491
18,Maine,167,185,1362359,0.0001225814928370569,0.00013579386931051213
19,Massachusetts,1575,659,7029917,0.00022404247447018223,9.374221630212703e-05
20,Michigan,334,236,10077331,3.314369648074475e-05,2.341889930974779e-05
21,Minnesota,414,283,5706494,7.25489240854367e-05,4.9592622019755035e-05
22,Mississippi,71,118,2961279,2.3976126531812774e-05,3.984764691202686e-05
23,Missouri,195,181,6154913,3.168200752796993e-05,2.9407401859295167e-05
24,Montana,84,137,1084225,7.747469390578523e-05,0.00012635753648919734
25,Nebraska,111,93,1961504,5.658922948920828e-05,4.741259768014748e-05
26,Nevada,593,817,3104614,0.0001910060316677049,0.00026315670804808583
27,New Hampshire,154,159,1377529,0.0001117943796464539,0.0001154240672973128
28,New Jersey,2075,662,9288994,0.00022338263971319176,7.126713613982311e-05
29,New Mexico,76,104,2117522,3.589100845233249e-05,4.911401156634972e-05
30,New York,3562,1035,20201249,0.00017632573114662365,5.1234455849734836e-05
31,North Carolina,1670,629,10439388,0.00015997106343781838,6.025257419304656e-05
32,North Dakota,44,73,779094,5.6475855288322076e-05,9.36985780919889e-05
33,Ohio,286,205,11799448,2.4238422000758e-05,1.7373694091452412e-05
34,Oklahoma,78,130,3959353,1.9700188389365635e-05,3.2833647315609394e-05
35,Oregon,130,153,4237256,3.0680232678884634e-05,3.610827384514884e-05
36,Pennsylvania,2311,798,13002700,0.00017773231713413368,6.13718689195321e-05
37,Rhode Island,125,171,1097379,0.00011390777479795039,0.00015582583592359614
38,South Carolina,389,253,5118425,7.599994138822001e-05,4.9429267792338465e-05
39,South Dakota,0,198,886667,0.0,0.0002233081867262456
40,Tennessee,429,307,6910840,6.207639013491848e-05,4.4422964502144455e-05
41,Texas,1311,609,29145505,4.498120722217714e-05,2.0895160334329427e-05
42,Utah,445,414,3271616,0.00013601840802832606,0.00012654296836792583
43,Vermont,0,198,643077,0.0,0.0003078947000125957
44,Washington,1089,826,7705281,0.00014133163994927634,0.0001071992053242445
45,West Virginia,213,167,1793716,0.00011874789543049178,9.310281003235741e-05
46,Wisconsin,291,234,5893718,4.937460530008392e-05,3.97032908598613e-05
47,Wyoming,255,400,576851,0.0004420552274330806,0.0006934199646009108
