,state,pop_migrated_2021,winning_party,winner_percent_of_votes,avg_all years,anomaly
0,Alabama,203,REPUBLICAN,0.603169130291706,240.73333333333332,0.843256715591249
1,Alaska,240,REPUBLICAN,0.5942451953880631,299.6666666666667,0.8008898776418242
2,Arizona,32,REPUBLICAN,0.5363524782262724,407.6,0.07850834151128556
3,Arkansas,106,REPUBLICAN,0.5871590449992959,93.26666666666667,1.1365260900643317
4,California,2980,DEMOCRAT,0.6101263834713425,3447.733333333333,0.8643359888622477
5,Colorado,505,DEMOCRAT,0.5366023684069159,483.46666666666664,1.0445394373965804
6,Connecticut,288,DEMOCRAT,0.6058882967612181,1046.5333333333333,0.27519429226653075
7,Delaware,571,DEMOCRAT,0.6194266898150393,653.8666666666667,0.8732667210440457
8,Florida,2275,DEMOCRAT,0.5103330527066491,1674.7333333333333,1.3584252219258788
9,Georgia,900,REPUBLICAN,0.5220451799292952,1078.7333333333333,0.8343118472282306
10,Hawaii,145,DEMOCRAT,0.7145291011787819,145.46666666666667,0.9967919340054995
11,Idaho,0,REPUBLICAN,0.6151709147303861,43.8,0.0
12,Illinois,1370,DEMOCRAT,0.6191811452001323,1322.4,1.0359951603145794
13,Indiana,0,DEMOCRAT,0.4994591163968428,397.6666666666667,0.0
14,Iowa,33,DEMOCRAT,0.5392802007386527,128.2,0.2574102964118565
15,Kansas,95,REPUBLICAN,0.5661225434349189,103.53333333333333,0.9175788795878944
16,Kentucky,114,REPUBLICAN,0.5739902114287592,173.4,0.657439446366782
17,Louisiana,0,REPUBLICAN,0.5856272131075638,330.0,0.0
18,Maine,390,DEMOCRAT,0.5770573729797597,176.33333333333334,2.2117202268431
19,Massachusetts,1084,DEMOCRAT,0.6136319910280229,1902.2,0.5698664704026916
20,Michigan,259,DEMOCRAT,0.5743324730745946,697.7333333333333,0.3712019873877317
21,Minnesota,194,DEMOCRAT,0.5406029269827984,286.0,0.6783216783216783
22,Mississippi,0,REPUBLICAN,0.5617618898101739,121.13333333333334,0.0
23,Missouri,102,REPUBLICAN,0.4942607441187882,306.1333333333333,0.33318815331010454
24,Montana,66,REPUBLICAN,0.495324509445858,34.333333333333336,1.9223300970873785
25,Nebraska,57,REPUBLICAN,0.5653185336979162,103.86666666666666,0.5487804878048781
26,Nevada,147,DEMOCRAT,0.551466759243187,93.4,1.5738758029978586
27,New Hampshire,72,DEMOCRAT,0.5412689705613458,140.8,0.5113636363636364
28,New Jersey,1232,DEMOCRAT,0.5727213715188599,1744.6,0.7061790668348046
29,New Mexico,0,DEMOCRAT,0.5690748026279335,150.86666666666667,0.0
30,New York,3647,DEMOCRAT,0.6015696154075767,4126.266666666666,0.8838498077358065
31,North Carolina,1276,DEMOCRAT,0.4970366639904742,1431.0666666666666,0.8916425975961987
32,North Dakota,0,REPUBLICAN,0.5325010027761898,31.4,0.0
33,Ohio,373,DEMOCRAT,0.5150427006052537,829.1333333333333,0.449867331350004
34,Oklahoma,57,REPUBLICAN,0.656450811226935,102.06666666666666,0.5584585238406271
35,Oregon,285,DEMOCRAT,0.5674880625692065,222.4,1.2814748201438848
36,Pennsylvania,1705,DEMOCRAT,0.5448552801203738,1918.6666666666667,0.8886379430159833
37,Rhode Island,68,DEMOCRAT,0.6286400461245617,374.53333333333336,0.18155927376290493
38,South Carolina,345,REPUBLICAN,0.5387364397863786,473.6,0.7284628378378378
39,South Dakota,58,REPUBLICAN,0.5315897637279927,54.8,1.0583941605839418
40,Tennessee,89,REPUBLICAN,0.5689695428289423,534.0666666666667,0.16664586193983272
41,Texas,819,REPUBLICAN,0.5545236045232641,1493.4666666666667,0.5483885367377913
42,Utah,76,REPUBLICAN,0.6258386971450172,165.93333333333334,0.4580152671755725
43,Vermont,161,DEMOCRAT,0.6745568319560924,129.4,1.2442040185471406
44,Washington,190,DEMOCRAT,0.5765289221364835,477.46666666666664,0.3979335381178442
45,West Virginia,207,REPUBLICAN,0.5571034310695478,346.4,0.5975750577367206
46,Wisconsin,344,DEMOCRAT,0.5621778651794235,311.3333333333333,1.1049250535331907
47,Wyoming,54,REPUBLICAN,0.6471377459749553,23.0,2.347826086956522
