,state,pop_migrated_2015,pop_migrated_2016,pop_migrated_2017,15_16_avg,pct_change_pre_post_election,winning_party,winner_percent_of_votes,avg_all years,anomaly
0,Alabama,359.0,140.0,494.0,249.5,97.99599198396794,REPUBLICAN,0.6208309236440906,221.33333333333334,2.2319277108433733
1,Alaska,235.0,77.0,0.0,156.0,-100.0,REPUBLICAN,0.5128151207753728,315.6666666666667,0.0
2,Arizona,367.0,744.0,549.0,555.5,-1.17011701170117,REPUBLICAN,0.4867161647232105,373.1333333333333,1.4713239235304627
3,Arkansas,203.0,0.0,105.0,101.5,3.4482758620689653,REPUBLICAN,0.6057410216382829,93.33333333333333,1.125
4,California,4119.0,3908.0,3763.0,4013.5,-6.241435156347327,DEMOCRAT,0.6172639960455788,3395.5333333333333,1.1082206035379814
5,Colorado,433.0,531.0,1109.0,482.0,130.08298755186723,DEMOCRAT,0.481569803828474,443.2,2.5022563176895307
6,Connecticut,1292.0,1225.0,1149.0,1258.5,-8.700834326579262,DEMOCRAT,0.5456630109670987,989.1333333333333,1.1616229696030196
7,Delaware,252.0,278.0,375.0,265.0,41.509433962264154,DEMOCRAT,0.5335333680563419,666.9333333333333,0.5622750899640144
8,Florida,2731.0,2717.0,1182.0,2724.0,-56.6079295154185,REPUBLICAN,0.4902194141659073,1747.6,0.6763561455710689
9,Georgia,1013.0,1105.0,1507.0,1059.0,42.30406043437205,REPUBLICAN,0.50771326054771,1038.2666666666667,1.451457557467574
10,Hawaii,52.0,103.0,29.0,77.5,-62.58064516129033,DEMOCRAT,0.6098079805512905,153.2,0.18929503916449086
11,Idaho,5.0,0.0,161.0,2.5,6340.0,REPUBLICAN,0.5926143236919689,33.06666666666667,4.868951612903225
12,Illinois,785.0,2418.0,2726.0,1601.5,70.21542304089917,DEMOCRAT,0.558253666987933,1232.0,2.2126623376623376
13,Indiana,748.0,957.0,710.0,852.5,-16.715542521994134,REPUBLICAN,0.5694003344841128,350.3333333333333,2.026641294005709
14,Iowa,135.0,218.0,17.0,176.5,-90.36827195467421,REPUBLICAN,0.5116206134467737,129.26666666666668,0.13151108818978854
15,Kansas,33.0,0.0,0.0,16.5,-100.0,REPUBLICAN,0.5665458180583958,109.86666666666666,0.0
16,Kentucky,275.0,233.0,285.0,254.0,12.204724409448819,REPUBLICAN,0.6251963855190009,162.0,1.7592592592592593
17,Louisiana,392.0,197.0,461.0,294.5,56.536502546689306,REPUBLICAN,0.580886846535688,299.26666666666665,1.540432167520606
18,Maine,258.0,118.0,122.0,188.0,-35.1063829787234,DEMOCRAT,0.4634521409730895,194.2,0.6282183316168899
19,Massachusetts,2876.0,1974.0,2669.0,2425.0,10.061855670103093,DEMOCRAT,0.5905006509667129,1796.5333333333333,1.4856390084607392
20,Michigan,1308.0,922.0,808.0,1115.0,-27.533632286995513,REPUBLICAN,0.4749756421999614,661.1333333333333,1.2221437934859332
21,Minnesota,545.0,542.0,436.0,543.5,-19.779208831646734,DEMOCRAT,0.4644503396176695,269.8666666666667,1.6156126482213438
22,Mississippi,338.0,224.0,157.0,281.0,-44.128113879003564,REPUBLICAN,0.5794103808883564,110.66666666666667,1.4186746987951806
23,Missouri,141.0,566.0,466.0,353.5,31.824611032531823,REPUBLICAN,0.5677234783816165,281.8666666666667,1.6532639545884578
24,Montana,0.0,17.0,0.0,8.5,-100.0,REPUBLICAN,0.5646619186857719,38.733333333333334,0.0
25,Nebraska,674.0,190.0,0.0,432.0,-100.0,REPUBLICAN,0.5874735112712576,107.66666666666667,0.0
26,Nevada,68.0,356.0,128.0,212.0,-39.62264150943396,DEMOCRAT,0.4791782367811904,94.66666666666667,1.352112676056338
27,New Hampshire,47.0,168.0,88.0,107.5,-18.13953488372093,DEMOCRAT,0.4682626266969055,139.73333333333332,0.6297709923664123
28,New Jersey,1804.0,1494.0,2590.0,1649.0,57.06488781079442,DEMOCRAT,0.554530844496942,1654.0666666666666,1.5658377332634719
29,New Mexico,40.0,1.0,206.0,20.5,904.8780487804878,DEMOCRAT,0.482556471786341,137.13333333333333,1.5021876519202724
30,New York,5133.0,4762.0,5238.0,4947.5,5.871652349671551,DEMOCRAT,0.5613614259984896,4020.2,1.3029202527237451
31,North Carolina,1501.0,1367.0,1867.0,1434.0,30.1952580195258,REPUBLICAN,0.4982809469618041,1391.6666666666667,1.3415568862275449
32,North Dakota,0.0,83.0,5.0,41.5,-87.95180722891565,REPUBLICAN,0.629556278313393,31.066666666666666,0.1609442060085837
33,Ohio,1027.0,659.0,1026.0,843.0,21.70818505338078,REPUBLICAN,0.5168765067578619,785.6,1.3060081466395113
34,Oklahoma,150.0,122.0,0.0,136.0,-100.0,REPUBLICAN,0.6532286481962736,105.86666666666666,0.0
35,Oregon,157.0,125.0,37.0,141.0,-73.75886524822694,DEMOCRAT,0.5007185200286208,238.93333333333334,0.1548549107142857
36,Pennsylvania,1999.0,2468.0,1824.0,2233.5,-18.334452652787107,REPUBLICAN,0.4857788580374602,1910.7333333333333,0.9546073060953909
37,Rhode Island,234.0,268.0,296.0,251.0,17.928286852589643,DEMOCRAT,0.5440660657037472,359.3333333333333,0.8237476808905381
38,South Carolina,1806.0,382.0,235.0,1094.0,-78.51919561243145,REPUBLICAN,0.5493933268569543,480.93333333333334,0.4886332131965622
39,South Dakota,9.0,0.0,0.0,4.5,-100.0,REPUBLICAN,0.615307503789588,58.666666666666664,0.0
40,Tennessee,873.0,452.0,1057.0,662.5,59.54716981132076,REPUBLICAN,0.6072203369421462,469.53333333333336,2.2511713758341614
41,Texas,1314.0,2213.0,2858.0,1763.5,62.0640771193649,REPUBLICAN,0.5223468557933538,1357.5333333333333,2.105289004567107
42,Utah,177.0,249.0,384.0,213.0,80.28169014084507,REPUBLICAN,0.4554081658810042,145.4,2.640990371389271
43,Vermont,117.0,0.0,447.0,58.5,664.1025641025641,DEMOCRAT,0.5572274212321393,110.33333333333333,4.051359516616315
44,Washington,134.0,418.0,206.0,276.0,-25.36231884057971,DEMOCRAT,0.5253868006182659,476.4,0.4324097397145256
45,West Virginia,478.0,296.0,0.0,387.0,-100.0,REPUBLICAN,0.6863057481161936,360.2,0.0
46,Wisconsin,514.0,242.0,115.0,378.0,-69.57671957671958,REPUBLICAN,0.4721818456731012,326.6,0.352112676056338
47,Wyoming,0.0,0.0,0.0,0.0,,REPUBLICAN,0.6739841105460841,26.6,0.0
Total,,37151.0,35529.0,37887.0,36340.0,7259.628037357567,,26.348197661859526,,
