,state,year,party_detailed,percent_total_votes
144,Alabama,2016,REPUBLICAN,0.6208309236440906
145,Alaska,2016,REPUBLICAN,0.5128151207753728
146,Arizona,2016,REPUBLICAN,0.4867161647232105
147,Arkansas,2016,REPUBLICAN,0.6057410216382829
148,California,2016,DEMOCRAT,0.6172639960455788
149,Colorado,2016,DEMOCRAT,0.48156980382847403
150,Connecticut,2016,DEMOCRAT,0.5456630109670987
151,Delaware,2016,DEMOCRAT,0.5335333680563419
152,Florida,2016,REPUBLICAN,0.49021941416590736
153,Georgia,2016,REPUBLICAN,0.50771326054771
154,Hawaii,2016,DEMOCRAT,0.6098079805512905
155,Idaho,2016,REPUBLICAN,0.5926143236919689
156,Illinois,2016,DEMOCRAT,0.558253666987933
157,Indiana,2016,REPUBLICAN,0.5694003344841128
158,Iowa,2016,REPUBLICAN,0.5116206134467737
159,Kansas,2016,REPUBLICAN,0.5665458180583958
160,Kentucky,2016,REPUBLICAN,0.6251963855190009
161,Louisiana,2016,REPUBLICAN,0.580886846535688
162,Maine,2016,DEMOCRAT,0.4634521409730895
163,Massachusetts,2016,DEMOCRAT,0.5905006509667129
164,Michigan,2016,REPUBLICAN,0.47497564219996147
165,Minnesota,2016,DEMOCRAT,0.4644503396176695
166,Mississippi,2016,REPUBLICAN,0.5794103808883564
167,Missouri,2016,REPUBLICAN,0.5677234783816165
168,Montana,2016,REPUBLICAN,0.5646619186857719
169,Nebraska,2016,REPUBLICAN,0.5874735112712576
170,Nevada,2016,DEMOCRAT,0.4791782367811904
171,New Hampshire,2016,DEMOCRAT,0.46826262669690555
172,New Jersey,2016,DEMOCRAT,0.554530844496942
173,New Mexico,2016,DEMOCRAT,0.48255647178634103
174,New York,2016,DEMOCRAT,0.5613614259984896
175,North Carolina,2016,REPUBLICAN,0.49828094696180414
176,North Dakota,2016,REPUBLICAN,0.629556278313393
177,Ohio,2016,REPUBLICAN,0.5168765067578619
178,Oklahoma,2016,REPUBLICAN,0.6532286481962736
179,Oregon,2016,DEMOCRAT,0.5007185200286208
180,Pennsylvania,2016,REPUBLICAN,0.4857788580374602
181,Rhode Island,2016,DEMOCRAT,0.5440660657037472
182,South Carolina,2016,REPUBLICAN,0.5493933268569543
183,South Dakota,2016,REPUBLICAN,0.615307503789588
184,Tennessee,2016,REPUBLICAN,0.6072203369421462
185,Texas,2016,REPUBLICAN,0.5223468557933538
186,Utah,2016,REPUBLICAN,0.4554081658810042
187,Vermont,2016,DEMOCRAT,0.5572274212321393
188,Washington,2016,DEMOCRAT,0.5253868006182659
189,West Virginia,2016,REPUBLICAN,0.6863057481161936
190,Wisconsin,2016,REPUBLICAN,0.4721818456731012
191,Wyoming,2016,REPUBLICAN,0.6739841105460841
